method,dataset,dimensions,hits@20,hits@50,hits@100,init_time,calc_time,num_node_pairs,device
jaccard,ogbl-ddi,4267,0.0,0.0007266516342170516,0.048565799429166445,0.10222210001666099,1.6880092000355944,229088,cpu
adamic-adar,ogbl-ddi,4267,0.1860752571372922,0.2707114443886762,0.3634756421877458,0.09523640002589673,1.6739343999652192,229088,cpu
common-neighbors,ogbl-ddi,4267,0.1772955074949996,0.2651079864258478,0.3452194562847875,0.08967809996102005,1.6714138000970706,229088,cpu
resource-allocation,ogbl-ddi,4267,0.06226730292383642,0.19137906494168058,0.31171107731723213,0.09329109999816865,1.6487888999981806,229088,cpu
hyperhash-jaccard,ogbl-ddi,1000,0.0,0.0009214242372030655,0.04323202660893407,0.4805680999998003,0.23927959997672588,229088,cpu
dothash-jaccard,ogbl-ddi,1000,0.0,0.0013559169669410962,0.039359048311096795,0.433203799999319,0.1049962000688538,229088,cpu
hyperhash-adamic-adar,ogbl-ddi,1000,0.2283034557154522,0.3223861142116579,0.3912607031290968,0.42779810004867613,0.1030964000383392,229088,cpu
dothash-adamic-adar,ogbl-ddi,1000,0.19079474713272254,0.24593037628568645,0.3083325217808209,0.426502599962987,0.10225989995524287,229088,cpu
hyperhash-common-neighbors,ogbl-ddi,1000,0.2943688243975159,0.39191993347766485,0.4590265864603076,0.4236412999453023,0.10217949992511421,229088,cpu
dothash-common-neighbors,ogbl-ddi,1000,0.18116848579283687,0.24094869240162112,0.29947036834495727,0.423055800027214,0.10213100002147257,229088,cpu
hyperhash-resource-allocation,ogbl-ddi,1000,0.04344178171984209,0.1590842691158073,0.24571312992081745,0.426435700035654,0.10283160000108182,229088,cpu
dothash-resource-allocation,ogbl-ddi,1000,0.041097019230048916,0.15175033148798778,0.24166036152791615,0.42677569994702935,0.10210629994980991,229088,cpu
minhash,ogbl-ddi,1000,0.0,0.0012884956812920915,0.04940481987279851,1.85140909999609,0.1762872999534011,229088,cpu
simhash,ogbl-ddi,1000,2.2473761883001596e-05,3.745626980500266e-05,8.240379357100585e-05,0.4279218000592664,0.14203909994103014,229088,cpu
jaccard,ogbl-ppa,576289,0.017542829624840852,0.09067379559202844,0.20848346515908148,2.0669497000053525,11.124120299937204,6031780,cpu
adamic-adar,ogbl-ppa,576289,0.14959759613164544,0.2183149832771507,0.32452222786613805,2.0288439000723884,10.90211830008775,6031780,cpu
common-neighbors,ogbl-ppa,576289,0.13261714240479192,0.19666730435585694,0.2765457915811833,1.998275400022976,10.860801700036973,6031780,cpu
resource-allocation,ogbl-ppa,576289,0.25644143044680023,0.38813733186444926,0.4932706198998608,2.060258699930273,10.898952000075951,6031780,cpu
hyperhash-jaccard,ogbl-ppa,1000,0.013629616924710895,0.09830495616436549,0.21927943320425625,12.226966100046411,7.069843300036155,6031780,cpu
dothash-jaccard,ogbl-ppa,1000,0.011386710117488735,0.09416844230122239,0.2085428362216256,12.248882799991407,3.598233100026846,6031780,cpu
hyperhash-adamic-adar,ogbl-ppa,1000,0.15229700044198458,0.22859706179208253,0.2965142589501877,12.207606299896725,3.415265299961902,6031780,cpu
dothash-adamic-adar,ogbl-ppa,1000,0.13809676163837745,0.2171915508381215,0.27765734980770373,12.121597500052303,3.492851800052449,6031780,cpu
hyperhash-common-neighbors,ogbl-ppa,1000,0.15073455197936525,0.21218030332016174,0.26910230953433295,12.086240299977362,3.4189670000923797,6031780,cpu
dothash-common-neighbors,ogbl-ppa,1000,0.12174696053143698,0.19207594218577864,0.24594363707129147,12.004656000062823,3.492825399967842,6031780,cpu
hyperhash-resource-allocation,ogbl-ppa,1000,0.03170876514786693,0.09382079174610294,0.15306618554116724,12.289148200070485,3.4178382999962196,6031780,cpu
dothash-resource-allocation,ogbl-ppa,1000,0.024674943432570966,0.07192111564823304,0.1350005607267018,12.198089099954814,3.4922790999989957,6031780,cpu
minhash,ogbl-ppa,1000,0.018092011953373927,0.08739948149272045,0.20664098318479573,42.68447890004609,5.821039200061932,6031780,cpu
simhash,ogbl-ppa,1000,0.000344682001992229,0.0004614450916623238,0.0005369782767878936,12.149250600021333,4.015765500022098,6031780,cpu
jaccard,ogbl-collab,235868,0.23346068337326512,0.48686567808500075,0.5454035269485635,0.08458649995736778,0.04066880000755191,146329,cpu
adamic-adar,ogbl-collab,235868,0.44643743659478946,0.5240130371905286,0.5454035269485635,0.08518729999195784,0.03629890002775937,146329,cpu
common-neighbors,ogbl-collab,235868,0.41699583414276153,0.41699583414276153,0.5454035269485635,0.08309899992309511,0.03642280003987253,146329,cpu
resource-allocation,ogbl-collab,235868,0.41766496147121673,0.5234518336247275,0.5454035269485635,0.08398610004223883,0.036027499940246344,146329,cpu
hyperhash-jaccard,ogbl-collab,1000,0.23933173606164607,0.28429277558332794,0.3066545792052494,0.8483674000017345,0.16735500004142523,146329,cpu
dothash-jaccard,ogbl-collab,1000,0.23618036219214747,0.33231884996438515,0.35118392367631507,0.8884688999969512,0.08288320002611727,146329,cpu
hyperhash-adamic-adar,ogbl-collab,1000,0.3077122320792592,0.34921971119601114,0.3758337110665026,0.9090518999146298,0.08055569999851286,146329,cpu
dothash-adamic-adar,ogbl-collab,1000,0.2972867966068769,0.3463921086144747,0.3768050249303892,0.879656899953261,0.09942820004653186,146329,cpu
hyperhash-common-neighbors,ogbl-collab,1000,0.2972436271018153,0.34665112564484446,0.408210839862721,0.8717947999248281,0.08107509999535978,146329,cpu
dothash-common-neighbors,ogbl-collab,1000,0.2882427852964666,0.3465000323771288,0.40292257549267196,0.8741760000120848,0.08089860004838556,146329,cpu
hyperhash-resource-allocation,ogbl-collab,1000,0.2237259599818688,0.29573269442465844,0.3203177275572536,0.8865909000160173,0.08080209989566356,146329,cpu
dothash-resource-allocation,ogbl-collab,1000,0.22398497701223855,0.2977832459150856,0.31798657428392585,0.8761793000157923,0.08655210002325475,146329,cpu
minhash,ogbl-collab,1000,0.25031837509982946,0.47272766517731873,0.5452308489283171,2.476499800104648,0.13745709997601807,146329,cpu
simhash,ogbl-collab,1000,0.006043730708627426,0.0192320145049537,0.03891730881305446,0.8612241999944672,0.09204529994167387,146329,cpu
jaccard,soc-epinions1,75888,0.11548288196218702,0.32447623914154317,0.48858142368617585,0.015887600020505488,0.04558159993030131,50881,cpu
adamic-adar,soc-epinions1,75888,0.5304429857316929,0.6329153728233953,0.7145552454699108,0.01808569999411702,0.047961700009182096,50881,cpu
common-neighbors,soc-epinions1,75888,0.4506112181124956,0.5934908219016548,0.6683306473802131,0.018067299970425665,0.04487220000009984,50881,cpu
resource-allocation,soc-epinions1,75888,0.5483275028497308,0.6436067764631893,0.7029597893164576,0.017495400039479136,0.044743800070136786,50881,cpu
hyperhash-jaccard,soc-epinions1,1000,0.07189182815140914,0.20746039856923862,0.2624110687472977,0.23866100003942847,0.057568199932575226,50881,cpu
dothash-jaccard,soc-epinions1,1000,0.16587398294092212,0.28292913014425536,0.3192877638457608,0.2361003999831155,0.028571599978022277,50881,cpu
hyperhash-adamic-adar,soc-epinions1,1000,0.42494398805078415,0.5482881962187021,0.5944734876773712,0.25045749999117106,0.02754460007417947,50881,cpu
dothash-adamic-adar,soc-epinions1,1000,0.40532997916748553,0.5478165166463582,0.6011163083212138,0.2471657000714913,0.02783520007506013,50881,cpu
hyperhash-common-neighbors,soc-epinions1,1000,0.4148814905074486,0.5727369207185252,0.6228135686490311,0.24476850009523332,0.027871600002981722,50881,cpu
dothash-common-neighbors,soc-epinions1,1000,0.4154710899728784,0.5640108486301639,0.618725679022051,0.23594799998681992,0.02760499995201826,50881,cpu
hyperhash-resource-allocation,soc-epinions1,1000,0.2174442828505169,0.29656853111119846,0.33261271176447466,0.2441934000235051,0.027592599974013865,50881,cpu
dothash-resource-allocation,soc-epinions1,1000,0.21418183247513856,0.291615895601588,0.34346134192838335,0.24475660000462085,0.027769200038164854,50881,cpu
